There is 17 cells and 15 mutations.
ROOT:11
step:238,	mode:swap_nodes,	new_error:3.00,	last_error:1.40,	acc_prob:0.000
step:239,	mode:swap_nodes,	new_error:2.80,	last_error:1.40,	acc_prob:0.000
step:240,	mode:swap_subtrees,	new_error:1.40,	last_error:1.40,	acc_prob:1.000
step:241,	mode:prune_reattach,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:242,	mode:prune_reattach,	new_error:1.50,	last_error:1.20,	acc_prob:0.000
step:243,	mode:prune_reattach,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:244,	mode:swap_subtrees,	new_error:2.50,	last_error:1.20,	acc_prob:0.000
step:245,	mode:prune_reattach,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:246,	mode:swap_subtrees,	new_error:2.10,	last_error:1.20,	acc_prob:0.000
step:247,	mode:swap_subtrees,	new_error:2.40,	last_error:1.20,	acc_prob:0.000
step:248,	mode:swap_nodes,	new_error:1.50,	last_error:1.20,	acc_prob:0.000
step:249,	mode:swap_nodes,	new_error:1.80,	last_error:1.20,	acc_prob:0.000
step:250,	mode:swap_nodes,	new_error:1.30,	last_error:1.20,	acc_prob:0.000
step:251,	mode:swap_nodes,	new_error:1.30,	last_error:1.20,	acc_prob:0.000
step:252,	mode:swap_nodes,	new_error:3.30,	last_error:1.20,	acc_prob:0.000
step:253,	mode:swap_nodes,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:254,	mode:swap_nodes,	new_error:2.60,	last_error:1.20,	acc_prob:0.000
step:255,	mode:swap_nodes,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:256,	mode:swap_subtrees,	new_error:2.50,	last_error:1.20,	acc_prob:0.000
step:257,	mode:swap_subtrees,	new_error:2.50,	last_error:1.20,	acc_prob:0.000
step:258,	mode:swap_subtrees,	new_error:2.40,	last_error:1.20,	acc_prob:0.000
step:259,	mode:swap_subtrees,	new_error:2.50,	last_error:1.20,	acc_prob:0.000
step:260,	mode:swap_subtrees,	new_error:2.20,	last_error:1.20,	acc_prob:0.000
step:261,	mode:prune_reattach,	new_error:2.30,	last_error:1.20,	acc_prob:0.000
step:262,	mode:swap_subtrees,	new_error:2.50,	last_error:1.20,	acc_prob:0.000
step:263,	mode:swap_subtrees,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:264,	mode:swap_nodes,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:265,	mode:swap_nodes,	new_error:2.60,	last_error:1.20,	acc_prob:0.000
step:266,	mode:swap_nodes,	new_error:3.70,	last_error:1.20,	acc_prob:0.000
step:267,	mode:swap_nodes,	new_error:3.80,	last_error:1.20,	acc_prob:0.000
step:268,	mode:swap_nodes,	new_error:1.30,	last_error:1.20,	acc_prob:0.000
step:269,	mode:swap_nodes,	new_error:2.90,	last_error:1.20,	acc_prob:0.000
step:270,	mode:swap_nodes,	new_error:3.50,	last_error:1.20,	acc_prob:0.000
step:271,	mode:swap_nodes,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:272,	mode:prune_reattach,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:273,	mode:prune_reattach,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:274,	mode:prune_reattach,	new_error:4.30,	last_error:1.20,	acc_prob:0.000
step:275,	mode:prune_reattach,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:276,	mode:prune_reattach,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:277,	mode:swap_subtrees,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:278,	mode:prune_reattach,	new_error:4.10,	last_error:1.20,	acc_prob:0.000
step:279,	mode:prune_reattach,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:280,	mode:swap_nodes,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:281,	mode:swap_nodes,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:282,	mode:swap_nodes,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:283,	mode:swap_nodes,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:284,	mode:swap_nodes,	new_error:3.30,	last_error:1.20,	acc_prob:0.000
step:285,	mode:swap_nodes,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:286,	mode:swap_nodes,	new_error:1.50,	last_error:1.20,	acc_prob:0.000
step:287,	mode:swap_nodes,	new_error:1.20,	last_error:1.20,	acc_prob:1.000
step:288,	mode:prune_reattach,	new_error:1.50,	last_error:1.20,	acc_prob:0.000
step:289,	mode:swap_subtrees,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:290,	mode:swap_subtrees,	new_error:1.40,	last_error:1.20,	acc_prob:0.000
step:291,	mode:swap_subtrees,	new_error:1.60,	last_error:1.20,	acc_prob:0.000
step:292,	mode:swap_subtrees,	new_error:0.90,	last_error:0.90,	acc_prob:1.000
step:293,	mode:prune_reattach,	new_error:1.10,	last_error:0.90,	acc_prob:0.000
step:294,	mode:swap_subtrees,	new_error:0.90,	last_error:0.90,	acc_prob:1.000
step:295,	mode:prune_reattach,	new_error:0.80,	last_error:0.80,	acc_prob:1.000
step:296,	mode:swap_nodes,	new_error:2.70,	last_error:0.80,	acc_prob:0.000
step:297,	mode:swap_nodes,	new_error:2.70,	last_error:0.80,	acc_prob:0.000
step:298,	mode:swap_nodes,	new_error:2.90,	last_error:0.80,	acc_prob:0.000
step:299,	mode:swap_nodes,	new_error:3.40,	last_error:0.80,	acc_prob:0.000
step:300,	mode:swap_nodes,	new_error:2.90,	last_error:0.80,	acc_prob:0.000
step:301,	mode:swap_nodes,	new_error:2.70,	last_error:0.80,	acc_prob:0.000
step:302,	mode:swap_nodes,	new_error:2.90,	last_error:0.80,	acc_prob:0.000
step:303,	mode:swap_nodes,	new_error:2.80,	last_error:0.80,	acc_prob:0.000
step:304,	mode:swap_subtrees,	new_error:1.90,	last_error:0.80,	acc_prob:0.000
step:305,	mode:swap_subtrees,	new_error:3.00,	last_error:0.80,	acc_prob:0.000
step:306,	mode:prune_reattach,	new_error:1.00,	last_error:0.80,	acc_prob:0.000
step:307,	mode:prune_reattach,	new_error:0.70,	last_error:0.70,	acc_prob:1.000
step:308,	mode:prune_reattach,	new_error:2.10,	last_error:0.70,	acc_prob:0.000
step:309,	mode:prune_reattach,	new_error:0.80,	last_error:0.70,	acc_prob:0.000
step:310,	mode:prune_reattach,	new_error:1.70,	last_error:0.70,	acc_prob:0.000
step:311,	mode:prune_reattach,	new_error:2.70,	last_error:0.70,	acc_prob:0.000
